127.0.0.1 - - [08/Dec/2019:15:51:22 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:24 +0900] "GET /todo/MainServlet HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:24 +0900] "GET /todo/etc/updatelist.js HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:35 +0900] "GET /todo/MainServlet HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:35 +0900] "GET /todo/etc/updatelist.js HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:51:38 +0900] "GET /todo/TodoTypeServlet?id=2&type=DONE HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:52:01 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:52:06 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:53:17 +0900] "GET /todo/MainServlet HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:53:18 +0900] "GET /todo/MainServlet HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:53:20 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:53:23 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:54:07 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:54:20 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:54:46 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:54:58 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:56:09 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:56:20 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [08/Dec/2019:15:56:26 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:01:13 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:01:28 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:03:16 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:03:22 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:04:17 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:04:59 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:05:11 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:05:17 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:07:41 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:08:39 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:08:52 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:09:06 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:09:07 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:09:13 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:09:42 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:09:52 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:11:06 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [08/Dec/2019:16:11:26 +0900] "GET /todo/TodoFormServlet HTTP/1.1" 200 1562
